"DTXSID","name","product_name","general_category","product_type","minimum_weight_fraction","maximum_weight_fraction","reported_functional_use","harmonized_medium","reported_species","description","detected"
"DTXSID2021995","usgs_groundwater"," insect/arthropod repellent lotion (cat no 160)","Pesticides","insect repellent - skin",NA,NA,"active ingredient","drinking water",NA,"products for repelling insects from skin",14
"DTXSID2021995","usgs_groundwater"," insect/arthropod repellent lotion (cat no 160)","Pesticides","insect repellent - skin",NA,NA,"active ingredient","groundwater",NA,"products for repelling insects from skin",88
"DTXSID2021995","usgs_groundwater"," insect/arthropod repellent lotion (cat no 160)","Pesticides","insect repellent - skin",NA,NA,"active ingredient","landfill leachate",NA,"products for repelling insects from skin",19
"DTXSID2021995","usgs_groundwater"," insect/arthropod repellent lotion (cat no 160)","Pesticides","insect repellent - skin",NA,NA,"active ingredient","other-environmental",NA,"products for repelling insects from skin",4
"DTXSID2021995","usgs_groundwater"," insect/arthropod repellent lotion (cat no 160)","Pesticides","insect repellent - skin",NA,NA,"active ingredient","surface water",NA,"products for repelling insects from skin",18
"DTXSID2021995","usgs_groundwater"," insect/arthropod repellent lotion (cat no 160)","Pesticides","insect repellent - skin",NA,NA,"SKINPROTECTING","drinking water",NA,"products for repelling insects from skin",14
"DTXSID2021995","usgs_groundwater"," insect/arthropod repellent lotion (cat no 160)","Pesticides","insect repellent - skin",NA,NA,"SKINPROTECTING","groundwater",NA,"products for repelling insects from skin",88
"DTXSID2021995","usgs_groundwater"," insect/arthropod repellent lotion (cat no 160)","Pesticides","insect repellent - skin",NA,NA,"SKINPROTECTING","landfill leachate",NA,"products for repelling insects from skin",19
"DTXSID2021995","usgs_groundwater"," insect/arthropod repellent lotion (cat no 160)","Pesticides","insect repellent - skin",NA,NA,"SKINPROTECTING","other-environmental",NA,"products for repelling insects from skin",4
"DTXSID2021995","usgs_groundwater"," insect/arthropod repellent lotion (cat no 160)","Pesticides","insect repellent - skin",NA,NA,"SKINPROTECTING","surface water",NA,"products for repelling insects from skin",18
"DTXSID2021995","usgs_groundwater"," insect/arthropod repellent lotion_160","Pesticides","insect repellent - skin",NA,NA,"active ingredient","drinking water",NA,"products for repelling insects from skin",14
"DTXSID2021995","usgs_groundwater"," insect/arthropod repellent lotion_160","Pesticides","insect repellent - skin",NA,NA,"active ingredient","groundwater",NA,"products for repelling insects from skin",88
"DTXSID2021995","usgs_groundwater"," insect/arthropod repellent lotion_160","Pesticides","insect repellent - skin",NA,NA,"active ingredient","landfill leachate",NA,"products for repelling insects from skin",19
"DTXSID2021995","usgs_groundwater"," insect/arthropod repellent lotion_160","Pesticides","insect repellent - skin",NA,NA,"active ingredient","other-environmental",NA,"products for repelling insects from skin",4
"DTXSID2021995","usgs_groundwater"," insect/arthropod repellent lotion_160","Pesticides","insect repellent - skin",NA,NA,"active ingredient","surface water",NA,"products for repelling insects from skin",18
"DTXSID2021995","usgs_groundwater"," insect/arthropod repellent lotion_160","Pesticides","insect repellent - skin",NA,NA,"SKINPROTECTING","drinking water",NA,"products for repelling insects from skin",14
"DTXSID2021995","usgs_groundwater"," insect/arthropod repellent lotion_160","Pesticides","insect repellent - skin",NA,NA,"SKINPROTECTING","groundwater",NA,"products for repelling insects from skin",88
"DTXSID2021995","usgs_groundwater"," insect/arthropod repellent lotion_160","Pesticides","insect repellent - skin",NA,NA,"SKINPROTECTING","landfill leachate",NA,"products for repelling insects from skin",19
"DTXSID2021995","usgs_groundwater"," insect/arthropod repellent lotion_160","Pesticides","insect repellent - skin",NA,NA,"SKINPROTECTING","other-environmental",NA,"products for repelling insects from skin",4
"DTXSID2021995","usgs_groundwater"," insect/arthropod repellent lotion_160","Pesticides","insect repellent - skin",NA,NA,"SKINPROTECTING","surface water",NA,"products for repelling insects from skin",18
"DTXSID2021995","usgs_groundwater"," ultrathon insect repellent cat 631 (lotion)","Pesticides","insect repellent - skin",NA,NA,"active ingredient","drinking water",NA,"products for repelling insects from skin",14
"DTXSID2021995","usgs_groundwater"," ultrathon insect repellent cat 631 (lotion)","Pesticides","insect repellent - skin",NA,NA,"active ingredient","groundwater",NA,"products for repelling insects from skin",88
"DTXSID2021995","usgs_groundwater"," ultrathon insect repellent cat 631 (lotion)","Pesticides","insect repellent - skin",NA,NA,"active ingredient","landfill leachate",NA,"products for repelling insects from skin",19
"DTXSID2021995","usgs_groundwater"," ultrathon insect repellent cat 631 (lotion)","Pesticides","insect repellent - skin",NA,NA,"active ingredient","other-environmental",NA,"products for repelling insects from skin",4
"DTXSID2021995","usgs_groundwater"," ultrathon insect repellent cat 631 (lotion)","Pesticides","insect repellent - skin",NA,NA,"active ingredient","surface water",NA,"products for repelling insects from skin",18
"DTXSID2021995","usgs_groundwater"," ultrathon insect repellent cat 631 (lotion)","Pesticides","insect repellent - skin",NA,NA,"SKINPROTECTING","drinking water",NA,"products for repelling insects from skin",14
"DTXSID2021995","usgs_groundwater"," ultrathon insect repellent cat 631 (lotion)","Pesticides","insect repellent - skin",NA,NA,"SKINPROTECTING","groundwater",NA,"products for repelling insects from skin",88
"DTXSID2021995","usgs_groundwater"," ultrathon insect repellent cat 631 (lotion)","Pesticides","insect repellent - skin",NA,NA,"SKINPROTECTING","landfill leachate",NA,"products for repelling insects from skin",19
"DTXSID2021995","usgs_groundwater"," ultrathon insect repellent cat 631 (lotion)","Pesticides","insect repellent - skin",NA,NA,"SKINPROTECTING","other-environmental",NA,"products for repelling insects from skin",4
"DTXSID2021995","usgs_groundwater"," ultrathon insect repellent cat 631 (lotion)","Pesticides","insect repellent - skin",NA,NA,"SKINPROTECTING","surface water",NA,"products for repelling insects from skin",18
"DTXSID2021995","usgs_groundwater"," ultrathontm spray insect repellent cat 632 (aerosol)","Pesticides","insect repellent - skin",NA,NA,"active ingredient","drinking water",NA,"products for repelling insects from skin",14
"DTXSID2021995","usgs_groundwater"," ultrathontm spray insect repellent cat 632 (aerosol)","Pesticides","insect repellent - skin",NA,NA,"active ingredient","groundwater",NA,"products for repelling insects from skin",88
"DTXSID2021995","usgs_groundwater"," ultrathontm spray insect repellent cat 632 (aerosol)","Pesticides","insect repellent - skin",NA,NA,"active ingredient","landfill leachate",NA,"products for repelling insects from skin",19
"DTXSID2021995","usgs_groundwater"," ultrathontm spray insect repellent cat 632 (aerosol)","Pesticides","insect repellent - skin",NA,NA,"active ingredient","other-environmental",NA,"products for repelling insects from skin",4
"DTXSID2021995","usgs_groundwater"," ultrathontm spray insect repellent cat 632 (aerosol)","Pesticides","insect repellent - skin",NA,NA,"active ingredient","surface water",NA,"products for repelling insects from skin",18
"DTXSID2021995","usgs_groundwater"," ultrathontm spray insect repellent cat 632 (aerosol)","Pesticides","insect repellent - skin",NA,NA,"SKINPROTECTING","drinking water",NA,"products for repelling insects from skin",14
"DTXSID2021995","usgs_groundwater"," ultrathontm spray insect repellent cat 632 (aerosol)","Pesticides","insect repellent - skin",NA,NA,"SKINPROTECTING","groundwater",NA,"products for repelling insects from skin",88
"DTXSID2021995","usgs_groundwater"," ultrathontm spray insect repellent cat 632 (aerosol)","Pesticides","insect repellent - skin",NA,NA,"SKINPROTECTING","landfill leachate",NA,"products for repelling insects from skin",19
"DTXSID2021995","usgs_groundwater"," ultrathontm spray insect repellent cat 632 (aerosol)","Pesticides","insect repellent - skin",NA,NA,"SKINPROTECTING","other-environmental",NA,"products for repelling insects from skin",4
"DTXSID2021995","usgs_groundwater"," ultrathontm spray insect repellent cat 632 (aerosol)","Pesticides","insect repellent - skin",NA,NA,"SKINPROTECTING","surface water",NA,"products for repelling insects from skin",18
